Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Albania,2007,4.634,9.142,0.821,65.8,0.529,-0.009,0.875,0.553,0.246
Argentina,2007,6.073,10.018,0.862,66.94,0.653,-0.141,0.881,0.828,0.279
Armenia,2007,4.882,9.181,0.76,64.9,0.605,-0.251,0.817,0.507,0.412
Australia,2007,7.285,10.703,0.965,71.72,0.891,0.347,0.513,0.826,0.215
Azerbaijan,2007,4.568,9.386,0.753,62.26,0.522,-0.207,0.871,0.521,0.284
Bangladesh,2007,4.607,7.839,0.514,59.44,0.605,0.04,0.806,0.635,0.313
Belarus,2007,5.617,9.576,0.858,61.4,0.667,-0.225,0.695,0.596,0.235
Belgium,2007,7.219,10.792,0.922,70.26,0.901,0.069,0.721,0.813,0.218
Belize,2007,6.451,8.892,0.872,61.6,0.705,0.033,0.769,0.759,0.251
Bolivia,2007,5.628,8.714,0.796,59.5,0.78,0.001,0.817,0.771,0.388
Bosnia and Herzegovina,2007,4.9,9.267,0.766,66.04,0.342,0.006,0.926,0.613,0.296
Brazil,2007,6.321,9.515,0.886,63.78,0.777,-0.016,0.728,0.859,0.299
Bulgaria,2007,3.844,9.715,0.832,65.1,0.566,-0.138,0.976,0.594,0.226
Burkina Faso,2007,4.017,7.377,0.771,47.42,0.582,-0.06,0.833,0.651,0.281
Cambodia,2007,4.156,7.829,0.675,56.1,0.819,0.116,0.879,,0.32
Cameroon,2007,4.35,8.028,0.717,46.56,0.644,-0.031,0.91,0.635,0.249
Canada,2007,7.482,10.739,,71.66,0.93,0.249,0.406,0.872,0.257
Central African Republic,2007,4.16,6.987,0.532,40.9,0.663,0.081,0.782,0.568,0.33
Chad,2007,4.141,7.359,0.479,43.66,0.295,-0.011,0.874,0.614,0.245
Chile,2007,5.698,9.887,0.815,68.72,0.662,0.244,0.723,0.767,0.342
China,2007,4.863,8.824,0.811,67.06,,-0.176,,0.817,0.159
Colombia,2007,6.138,9.33,0.894,65.34,0.786,-0.04,0.86,0.808,0.287
Costa Rica,2007,7.432,9.63,0.918,69.88,0.923,0.098,0.82,0.875,0.24
