Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2014,3.131,7.718,0.526,52.88,0.509,0.104,0.871,0.532,0.375
Albania,2014,4.814,9.378,0.626,67.52,0.735,-0.025,0.883,0.685,0.335
Algeria,2014,6.355,9.335,0.818,65.14,,,,0.626,0.177
Angola,2014,3.795,9.017,0.755,54.6,0.375,-0.168,0.834,0.579,0.368
Argentina,2014,6.671,10.067,0.918,68.02,0.745,-0.164,0.854,0.857,0.238
Armenia,2014,4.453,9.307,0.739,65.84,0.506,-0.218,0.92,0.581,0.404
Australia,2014,7.289,10.772,0.924,72.6,0.923,0.319,0.442,0.775,0.245
Austria,2014,6.95,10.882,0.899,71.96,0.885,0.118,0.567,0.78,0.17
Azerbaijan,2014,5.252,9.607,0.799,64.36,0.733,-0.208,0.654,0.598,0.22
Bahrain,2014,6.165,10.783,,67.42,,,,,
Bangladesh,2014,4.636,8.164,0.577,62.38,0.736,-0.098,0.789,,0.231
Belarus,2014,5.812,9.856,0.88,64.62,0.647,-0.048,0.682,0.619,0.209
Belgium,2014,6.855,10.795,0.944,71.28,0.861,0.001,0.512,0.798,0.252
Belize,2014,5.956,8.883,0.757,62.22,0.874,0.022,0.782,0.755,0.282
Benin,2014,3.347,7.998,0.506,52.82,0.776,-0.096,0.855,0.59,0.273
Bhutan,2014,4.939,9.167,0.88,59.9,0.834,0.268,0.65,0.859,0.324
Bolivia,2014,5.865,8.953,0.821,62.36,0.881,0.018,0.832,0.809,0.398
Bosnia and Herzegovina,2014,5.249,9.411,0.788,66.86,0.412,0.232,0.976,0.531,0.262
Botswana,2014,4.031,9.756,0.859,56.02,0.791,-0.105,0.743,0.674,0.245
Brazil,2014,6.981,9.664,0.898,65.54,0.714,-0.115,0.71,0.788,0.274
Bulgaria,2014,4.438,9.838,0.886,66.1,0.576,-0.055,0.955,0.628,0.236
Burkina Faso,2014,3.481,7.559,0.742,51.86,0.71,-0.004,0.801,0.614,0.256
Burundi,2014,2.905,6.787,0.565,51.82,0.431,-0.059,0.808,0.656,0.251
Cambodia,2014,3.883,8.121,0.693,60.02,0.938,0.239,0.843,0.783,0.482
Cameroon,2014,4.24,8.12,0.778,49.9,0.795,-0.071,0.856,0.623,0.216
Canada,2014,7.304,10.775,0.918,72.84,0.939,0.27,0.442,0.833,0.259
Chad,2014,3.46,7.532,0.733,46.38,0.567,-0.07,0.881,0.536,0.329
Chile,2014,6.844,10.059,0.862,69.46,0.733,0.217,0.758,0.87,0.276
China,2014,5.196,9.386,0.82,68.24,,-0.217,,0.854,0.112
Colombia,2014,6.449,9.546,0.907,66.58,0.801,-0.09,0.887,0.847,0.278
Congo (Brazzaville),2014,4.056,8.242,0.686,55.72,0.662,-0.11,0.808,0.595,0.4
Congo (Kinshasa),2014,4.414,6.937,0.822,51.66,0.556,0.009,0.814,0.559,0.305
Costa Rica,2014,7.247,9.775,0.914,70.5,0.927,0.01,0.788,0.837,0.29
Croatia,2014,5.381,10.072,0.646,68.3,0.519,0.132,0.918,0.596,0.286
Cyprus,2014,5.627,10.406,0.77,72.96,0.715,0.06,0.868,0.737,0.397
Czech Republic,2014,6.484,10.446,0.878,68.66,0.8,-0.168,0.897,0.678,0.235
Denmark,2014,7.508,10.862,0.956,71.28,0.942,0.118,0.237,0.832,0.233
Dominican Republic,2014,5.387,9.582,0.891,64.68,0.905,-0.02,0.76,0.798,0.3
Ecuador,2014,5.946,9.399,0.831,67.44,0.719,-0.167,0.661,0.859,0.306
Egypt,2014,4.885,9.245,0.619,60.64,0.578,-0.126,0.749,0.543,0.327
El Salvador,2014,5.857,8.986,0.798,65,0.778,-0.194,0.781,0.837,0.33
Estonia,2014,5.556,10.331,0.917,67.74,0.773,-0.153,0.652,0.68,0.203
Ethiopia,2014,4.507,7.413,0.64,56.4,0.694,0.08,0.702,0.738,0.303
Finland,2014,7.385,10.714,0.952,71.36,0.933,-0.001,0.265,0.784,0.199
France,2014,6.467,10.674,0.878,73,0.803,-0.118,0.656,0.811,0.216
Gabon,2014,3.918,9.644,0.829,57.52,0.607,-0.198,0.782,0.539,0.293
Georgia,2014,4.288,9.414,0.558,65.04,0.72,-0.233,0.416,0.57,0.204
Germany,2014,6.984,10.835,0.938,71.22,0.899,0.088,0.474,0.785,0.188
Ghana,2014,3.86,8.45,0.651,55.62,0.677,0.001,0.913,0.696,0.28
Greece,2014,4.756,10.257,0.832,71.74,0.369,-0.288,0.93,0.695,0.385
Guatemala,2014,6.536,8.98,0.834,63.54,0.843,0.108,0.804,0.835,0.305
Guinea,2014,3.412,7.632,0.638,50.88,0.684,0.006,0.705,0.629,0.351
Haiti,2014,3.889,7.477,0.554,50.54,0.509,0.285,0.708,0.593,0.327
