Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2013,3.572,7.725,0.484,52.56,0.578,0.061,0.823,0.621,0.273
Albania,2013,4.551,9.359,0.759,67.24,0.632,-0.127,0.863,0.634,0.338
Angola,2013,3.937,9.005,0.722,53.9,0.41,-0.104,0.816,0.658,0.371
Argentina,2013,6.582,10.103,0.91,67.84,0.737,-0.13,0.823,0.842,0.254
Armenia,2013,4.277,9.277,0.723,65.68,0.504,-0.195,0.9,0.562,0.45
Australia,2013,7.364,10.762,0.928,72.5,0.933,0.269,0.432,0.819,0.177
Austria,2013,7.499,10.883,0.95,71.82,0.922,0.168,0.679,0.787,0.163
Azerbaijan,2013,5.481,9.592,0.77,64.12,0.672,-0.168,0.699,0.619,0.242
Bahrain,2013,6.69,10.757,0.884,67.14,0.809,,0.525,0.768,0.306
Bangladesh,2013,4.66,8.116,0.53,61.96,0.742,-0.016,0.743,0.619,0.246
Belarus,2013,5.876,9.839,0.923,64.04,0.723,-0.177,0.653,0.609,0.206
Belgium,2013,7.104,10.784,0.909,71.16,0.891,0.017,0.574,0.797,0.217
Benin,2013,3.479,7.964,0.577,52.54,0.783,-0.085,0.856,0.702,0.216
Bhutan,2013,5.569,9.123,0.819,59.6,0.81,0.353,0.802,0.779,0.217
Bolivia,2013,5.767,8.915,0.803,62.02,0.846,-0.067,0.812,0.759,0.41
Bosnia and Herzegovina,2013,5.124,9.382,0.767,66.82,0.39,0.042,0.97,0.544,0.315
Botswana,2013,4.128,9.728,0.856,55.24,0.767,-0.154,0.749,0.698,0.244
Brazil,2013,7.14,9.668,0.91,65.28,0.785,-0.095,0.707,0.818,0.276
Bulgaria,2013,3.993,9.813,0.829,66,0.603,-0.191,0.962,0.623,0.278
Burkina Faso,2013,3.326,7.546,0.745,51.32,0.741,-0.016,0.765,0.63,0.287
Cambodia,2013,3.674,8.068,0.651,59.64,0.941,0.164,0.812,0.792,0.44
Cameroon,2013,4.271,8.09,0.76,49.5,0.794,-0.03,0.867,0.681,0.268
