Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2015,3.983,7.702,0.529,53.2,0.389,0.08,0.881,0.554,0.339
Albania,2015,4.607,9.403,0.639,67.8,0.704,-0.081,0.885,0.688,0.35
Argentina,2015,6.697,10.083,0.926,68.2,0.881,-0.174,0.851,0.859,0.305
Armenia,2015,4.348,9.334,0.723,66,0.551,-0.203,0.901,0.594,0.438
Australia,2015,7.309,10.779,0.952,72.7,0.922,0.332,0.357,0.79,0.21
Austria,2015,7.076,10.881,0.928,72.1,0.9,0.099,0.557,0.798,0.164
Azerbaijan,2015,5.147,9.606,0.786,64.6,0.764,-0.198,0.616,0.607,0.206
Bahrain,2015,6.007,10.785,0.853,67.7,0.85,0.112,,0.716,0.303
Bangladesh,2015,4.633,8.216,0.601,62.8,0.815,-0.068,0.721,0.635,0.226
Belarus,2015,5.719,9.815,0.924,65.2,0.623,-0.091,0.669,0.584,0.184
Belgium,2015,6.904,10.81,0.885,71.4,0.869,0.062,0.469,0.805,0.24
Benin,2015,3.625,7.988,0.434,53.1,0.733,-0.027,0.85,0.592,0.373
Bhutan,2015,5.082,9.219,0.848,60.2,0.83,0.277,0.634,0.81,0.312
Bolivia,2015,5.834,8.985,0.829,62.7,0.884,-0.03,0.862,0.786,0.393
Bosnia and Herzegovina,2015,5.117,9.457,0.656,66.9,0.631,-0.055,0.96,0.534,0.286
Botswana,2015,3.762,9.724,0.816,56.8,0.857,-0.116,0.86,0.746,0.261
Brazil,2015,6.547,9.62,0.907,65.8,0.799,-0.016,0.771,0.755,0.325
Bulgaria,2015,4.865,9.883,0.908,66.2,0.637,-0.2,0.941,0.643,0.214
Burkina Faso,2015,4.419,7.568,0.705,52.4,0.659,0.004,0.693,0.579,0.359
Cambodia,2015,4.162,8.173,0.729,60.4,0.956,0.21,0.825,0.813,0.399
Cameroon,2015,5.038,8.149,0.646,50.3,0.791,0.049,0.868,0.651,0.346
Canada,2015,7.413,10.774,0.939,73,0.931,0.253,0.427,0.845,0.286
Chad,2015,4.323,7.527,0.751,46.7,0.474,-0.029,0.889,0.607,0.358
Chile,2015,6.533,10.07,0.827,69.6,0.769,0.041,0.812,0.803,0.333
China,2015,5.304,9.449,0.794,68.4,,-0.244,,0.809,0.171
Colombia,2015,6.388,9.564,0.89,66.8,0.791,-0.1,0.843,0.839,0.292
Congo (Brazzaville),2015,4.691,8.243,0.642,56.1,0.85,-0.104,0.841,0.606,0.261
Congo (Kinshasa),2015,3.903,6.971,0.767,52.1,0.574,-0.048,0.866,0.589,0.301
Costa Rica,2015,6.854,9.799,0.878,70.7,0.907,-0.059,0.761,0.85,0.286
Croatia,2015,5.205,10.104,0.768,68.4,0.694,-0.096,0.849,0.609,0.294
Cyprus,2015,5.439,10.445,0.77,73.1,0.628,0.114,0.893,0.747,0.383
Czech Republic,2015,6.608,10.496,0.911,68.8,0.808,-0.146,0.886,0.751,0.206
Denmark,2015,7.514,10.878,0.96,71.5,0.941,0.222,0.191,0.829,0.218
Dominican Republic,2015,5.062,9.637,0.893,64.9,0.856,-0.065,0.755,0.714,0.295
Ecuador,2015,5.964,9.384,0.856,67.6,0.801,-0.114,0.666,0.851,0.323
Egypt,2015,4.763,9.266,0.73,60.8,0.659,-0.089,0.684,0.61,0.344
El Salvador,2015,6.018,9.005,0.791,65.2,0.733,-0.156,0.805,0.826,0.333
Estonia,2015,5.629,10.348,0.918,68,0.815,-0.164,0.569,0.723,0.183
Ethiopia,2015,4.573,7.484,0.626,57,0.803,0.113,0.567,0.714,0.237
Finland,2015,7.448,10.716,0.948,71.6,0.93,0.111,0.223,0.751,0.191
France,2015,6.358,10.682,0.896,73.2,0.817,-0.139,0.641,0.786,0.215
Gabon,2015,4.661,9.649,0.756,58.2,0.671,-0.194,0.867,0.626,0.372
Georgia,2015,4.122,9.442,0.517,65.1,0.64,-0.205,0.502,0.547,0.233
Germany,2015,7.037,10.844,0.926,71.3,0.889,0.178,0.412,0.765,0.203
Ghana,2015,3.986,8.449,0.687,56,0.852,-0.038,0.945,0.69,0.265
Greece,2015,5.623,10.259,0.835,71.8,0.532,-0.272,0.824,0.74,0.277
Guatemala,2015,6.465,9.003,0.823,63.9,0.869,0.051,0.822,0.851,0.311
Guinea,2015,3.505,7.645,0.579,51.1,0.666,0.007,0.762,0.667,0.268
Haiti,2015,3.57,7.476,0.564,55.1,0.398,0.306,0.777,0.619,0.333
Honduras,2015,4.845,8.572,0.772,66.6,0.534,-0.097,0.848,0.863,0.311
Hungary,2015,5.344,10.223,0.859,66.4,0.558,-0.198,0.908,0.707,0.245
Iceland,2015,7.498,10.854,0.98,73,0.94,0.301,0.639,0.849,0.18
India,2015,4.342,8.604,0.61,58.9,0.777,-0.005,0.776,0.701,0.322
Indonesia,2015,5.043,9.225,0.809,61.5,0.779,0.471,0.946,0.876,0.274
Iran,2015,4.75,9.449,0.572,65.1,0.78,0.176,0.699,0.645,0.52
Iraq,2015,4.493,9.241,0.684,58.4,0.599,0.019,0.762,0.49,0.581
Ireland,2015,6.83,11.174,0.953,72,0.892,0.233,0.409,0.799,0.225
Israel,2015,7.079,10.536,0.864,72.7,0.753,0.108,0.789,0.697,0.256
Italy,2015,5.848,10.608,0.909,73,0.575,-0.064,0.913,0.692,0.329
Ivory Coast,2015,4.445,8.393,0.704,47.7,0.8,-0.053,0.744,0.664,0.347
Japan,2015,5.88,10.588,0.923,74.7,0.832,-0.155,0.654,0.768,0.176
Jordan,2015,5.405,9.207,0.83,66.2,0.767,-0.046,,0.69,0.305
Kazakhstan,2015,5.95,10.098,0.931,62.8,0.74,-0.037,0.714,0.73,0.174
Kenya,2015,4.358,8.249,0.777,58.3,0.793,0.221,0.853,0.702,0.172
Kosovo,2015,5.077,9.182,0.805,,0.561,0.181,0.851,0.753,0.18
Kuwait,2015,6.146,10.912,0.823,66.1,0.822,0.082,,0.723,0.324
Kyrgyzstan,2015,4.905,8.477,0.857,63.2,0.813,0.2,0.858,0.767,0.173
Latvia,2015,5.881,10.185,0.879,65.9,0.656,-0.077,0.808,0.608,0.228
Lebanon,2015,5.172,9.699,0.742,65.6,0.597,0.073,0.889,0.568,0.243
Liberia,2015,2.702,7.365,0.638,53.7,0.671,-0.061,0.903,0.505,0.388
Libya,2015,5.615,9.308,0.868,62.3,0.775,-0.044,,0.704,0.369
Lithuania,2015,5.711,10.335,0.929,65.5,0.641,-0.254,0.924,0.595,0.276
Luxembourg,2015,6.702,11.617,0.934,72.6,0.932,0.052,0.375,0.757,0.193
Madagascar,2015,3.593,7.344,0.647,57.9,0.545,-0.041,0.861,0.802,0.226
Malawi,2015,3.868,6.935,0.494,55.5,0.801,0.058,0.835,0.633,0.26
Malaysia,2015,6.322,10.118,0.818,66.4,0.675,0.222,0.838,0.775,0.314
Mali,2015,4.582,7.669,0.83,50.2,0.634,-0.068,0.8,0.709,0.243
Malta,2015,6.613,10.566,0.919,72.2,0.912,0.347,0.664,0.68,0.355
