Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2012,3.783,7.705,0.521,52.24,0.531,0.236,0.776,0.71,0.268
Albania,2012,5.51,9.347,0.785,66.96,0.602,-0.169,0.848,0.607,0.271
Algeria,2012,5.605,9.311,0.839,64.82,0.587,-0.172,0.69,0.604,0.23
Angola,2012,4.36,8.992,0.753,53.2,0.456,-0.136,0.906,0.558,0.305
Argentina,2012,6.468,10.091,0.902,67.66,0.747,-0.148,0.817,0.857,0.272
Armenia,2012,4.32,9.249,0.676,65.52,0.502,-0.215,0.893,0.518,0.464
Australia,2012,7.196,10.754,0.945,72.4,0.935,0.274,0.368,0.811,0.214
Austria,2012,7.401,10.889,0.945,71.68,0.92,0.118,0.771,0.822,0.157
Azerbaijan,2012,4.911,9.549,0.762,63.88,0.599,-0.14,0.763,0.554,0.266
Bahrain,2012,5.027,10.716,0.911,66.86,0.682,,0.438,0.589,0.381
Bangladesh,2012,4.724,8.07,0.582,61.54,0.668,-0.034,0.765,0.714,0.183
Belarus,2012,5.749,9.83,0.902,63.46,0.645,-0.217,0.657,0.523,0.181
Belgium,2012,6.935,10.784,0.927,71.04,0.855,-0.05,0.758,0.82,0.238
Benin,2012,3.193,7.923,0.523,52.26,0.769,-0.111,0.806,0.583,0.231
Bolivia,2012,6.019,8.865,0.781,61.68,0.862,-0.015,0.84,0.782,0.409
Bosnia and Herzegovina,2012,4.773,9.342,0.779,66.78,0.42,-0.013,0.953,0.548,0.338
Botswana,2012,4.836,9.632,0.837,54.46,0.799,-0.203,0.814,0.773,0.171
Brazil,2012,6.66,9.647,0.89,65.02,0.849,,0.623,0.755,0.35
Bulgaria,2012,4.222,9.804,0.838,65.9,0.641,-0.172,0.938,0.573,0.237
Burkina Faso,2012,3.955,7.52,0.744,50.78,0.622,-0.07,0.726,0.545,0.3
Cambodia,2012,3.899,8.014,0.606,59.26,0.956,0.247,0.89,0.82,0.352
Cameroon,2012,4.245,8.065,0.743,49.1,0.766,-0.032,0.898,0.618,0.284
Canada,2012,7.415,10.744,0.948,72.52,0.918,0.29,0.466,0.857,0.229
Chad,2012,4.033,7.476,0.673,45.74,0.563,-0.034,0.884,0.527,0.316
Chile,2012,6.599,10.023,0.855,69.18,0.734,0.195,0.782,0.815,0.288
China,2012,5.095,9.249,0.788,67.92,0.808,-0.185,,0.821,0.159
Colombia,2012,6.375,9.471,0.914,66.14,0.828,-0.009,0.868,0.846,0.294
Comoros,2012,3.956,7.988,0.719,55.34,0.534,-0.121,0.651,0.612,0.212
Congo (Brazzaville),2012,3.919,8.192,0.622,54.96,0.773,-0.112,0.8,0.564,0.323
Congo (Kinshasa),2012,4.639,6.832,0.77,50.78,0.557,-0.035,0.807,0.634,0.23
Costa Rica,2012,7.272,9.74,0.902,70.1,0.929,0.046,0.794,0.897,0.263
Croatia,2012,6.028,10.072,0.776,68.1,0.542,-0.242,0.924,0.622,0.271
Cyprus,2012,6.181,10.479,0.767,72.68,0.725,0.098,0.871,0.755,0.369
Czech Republic,2012,6.334,10.426,0.912,68.38,0.74,-0.154,0.957,0.609,0.257
Denmark,2012,7.52,10.846,0.951,70.84,0.933,0.139,0.187,0.774,0.209
Dominican Republic,2012,4.753,9.489,0.879,64.24,0.84,-0.062,0.727,0.797,0.297
Ecuador,2012,5.961,9.344,0.785,67.12,0.825,-0.084,0.73,0.847,0.333
Egypt,2012,4.204,9.24,0.737,60.32,0.452,-0.138,0.88,0.527,0.398
El Salvador,2012,5.934,8.956,0.806,64.6,0.683,-0.155,0.786,0.831,0.365
Estonia,2012,5.364,10.282,0.889,67.22,0.697,-0.192,0.793,0.647,0.199
Ethiopia,2012,4.561,7.271,0.659,55.2,0.776,-0.044,,0.668,0.137
Finland,2012,7.42,10.735,0.928,70.88,0.921,-0.001,0.361,0.796,0.202
France,2012,6.649,10.669,0.937,72.6,0.841,-0.149,0.608,0.754,0.253
Gabon,2012,3.972,9.621,0.736,56.16,0.566,-0.195,0.81,0.47,0.266
Georgia,2012,4.254,9.332,0.533,64.92,0.659,-0.269,0.321,0.559,0.25
Germany,2012,6.702,10.816,0.926,71.06,0.904,0.071,0.679,0.804,0.17
Ghana,2012,5.057,8.397,0.685,54.86,0.679,0.04,0.898,0.76,0.152
Greece,2012,5.096,10.268,0.812,71.62,0.373,-0.305,0.959,0.581,0.352
Guatemala,2012,5.856,8.935,0.802,62.82,0.865,0.02,0.821,0.863,0.349
Guinea,2012,3.652,7.603,0.542,50.44,0.646,0.001,0.794,0.677,0.285
Haiti,2012,4.413,7.437,0.749,41.42,0.482,0.289,0.717,0.593,0.284
Honduras,2012,4.602,8.53,0.779,65.94,0.7,-0.003,0.871,0.847,0.294
Hong Kong S.A.R. of China,2012,5.484,10.893,0.826,,0.88,0.222,0.38,0.715,0.183
Hungary,2012,4.683,10.117,0.906,65.92,0.569,-0.136,0.93,0.652,0.315
Iceland,2012,7.591,10.777,0.979,72.76,0.905,0.241,0.759,0.9,0.157
India,2012,4.72,8.428,0.511,58,0.609,0.067,0.83,0.629,0.295
Indonesia,2012,5.368,9.114,0.834,60.84,0.77,0.354,0.962,0.897,0.229
Iran,2012,4.609,9.458,0.6,64.38,0.764,,0.678,0.609,0.525
Iraq,2012,4.66,9.246,0.73,59.12,0.315,-0.02,0.789,0.423,0.449
Ireland,2012,6.965,10.876,0.962,71.7,0.902,0.302,0.573,0.835,0.237
